Park Name,City,Zip Code,City Cast Rating,Park Management,Location,Bathrooms,Pool,Pond,Grills,Pavillion,Gardens,Baseball Diamond,Softball Diamond,Toddler Friendly Play Area,Kid Play Area,Off Leash Dog Area,Water Fountain,Splash Pad,Skate Park,Basketball Court,Disc Golf,Beach Volleyball Court,Volleyball Court,Soccer Field,River or Stream,Tennis Courts,Pickleball Courts,Fitness Area,latitude,longitude,Additional Notes,Futsal Court,Lighting After Dark,Picnic Tables
Juniper Canyon Eastern Trailhead ,Herriman,84065,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.48605199100007,-111.98870643199996",Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.48605199100007,-111.98870643199996,Great pump track! ,No,Yes,Yes
K9 Memorial Dog Park,Herriman,84096,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.51954034500005,-112.01181873199994",No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,40.51954034500005,-112.01181873199994,"Cuteeeee dog park with a nice walking path, agility course, and great views ",No,No,No
Kay Rees Park,Salt Lake City,84103,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.785162254000056,-111.87400508999997",No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.785162254000056,-111.87400508999997,"No amenities here, just a big field for play. The plaque reads, “In honor of Kay Rees — who envisioned a this park as a place for children.” So I would love love to see a playground here one day!",No,No,No
Kearns Linear Park,Kearns,84118,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.65193642400004,-111.99650757399996",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.65193642400004,-111.99650757399996,,No,No,No
Kinder Park,Magna,84044,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.68797030400003,-112.09595931799998",No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,40.68797030400003,-112.09595931799998,Built in cornhole boards! ,No,Yes,Yes
Kingspointe Park,West Valley City,84119,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.692750269000044,-111.93125907699999",No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,40.692750269000044,-111.93125907699999,Beautiful views! BYO volleyball net.,No,Yes,Yes
Kletting Park,Salt Lake City,84103,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.77329927400007,-111.88197260699997",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.77329927400007,-111.88197260699997,Lots of benches and shade!,No,No,No
Knudsen Park,Holladay,84121,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.63716194600005,-111.81190391199999",Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,40.63716194600005,-111.81190391199999,Knudsen park offer hammock hooks and is the trailhead to a paved bike path into Big Cottonwood. This park also has a water features for kids- not a splash pad but more like a giant water table. ,No,Yes,Yes
L & L Hamilton Park,Herriman,84096,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.50654093400004,-112.04246716099999",Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,40.50654093400004,-112.04246716099999,Cute new playground ,No,No,Yes
Labrum Park,Taylorsville,84129,3,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.64085946800003,-111.94318586899999",Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.64085946800003,-111.94318586899999,Mini rock climbing wall for small kids. Cute pavilion for parties.,No,Yes,Yes
Laird Park,Salt Lake City,84108,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.74243266500008,-111.83930815399998",No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.74243266500008,-111.83930815399998,Cute neighoborhood park with a sandbox!,No,No,Yes
Lake Avenue Park,South Jordan,84009,4,Daybreak HOA,"https://www.google.com/maps/dir/?api=1&destination=40.54962042400007,-112.01417050299995",No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,40.54962042400007,-112.01417050299995,"Beautiful area of fire pits with Adirondack chairs, charming sculptures, nice picnic tables with grills and little tunnels to climb through as well as a giant climbing structure over sand. Off-lease park is just across Lake Avenue.",No,Yes,Yes
Lamplight Village Park/Elk Run Park ,Magna,84044,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.69408469000007,-112.09192915799997",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,40.69408469000007,-112.09192915799997,Cute field along a little river pathway. ,No,No,Yes
Liberty Park,Salt Lake City,84105,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.74536928500004,-111.87396285699998",Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,40.74536928500004,-111.87396285699998,"Salt Lake City's oldest park! And a crown jewel of the city. Bocce ball courts, horseshoe pits, handball/wall ball. Heads up, tennis courts aren't free! Liberty Tennis runs that operation. There's even a gazebo for weddings!

The Rotary Playground is gett",No,Yes,Yes
Lincoln Park,South Salt Lake,84115,1,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.69082058600003,-111.88169352199998",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.69082058600003,-111.88169352199998,This park is a piece of lawn between town homes.,No,No,No
Lindsey Gardens,Salt Lake City,84103,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.77906834700008,-111.865520603",Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,40.77906834700008,-111.865520603,Disappointed the dog water fountain wasn’t working. Great hill for sledding north of the east baseball diamond. Sinks by the pavilion! Little trial to the fire station. Not one but three baseball diamonds. ,No,Yes,Yes
Linear Park ,South Jordan,84009,3,Daybreak HOA,"https://www.google.com/maps/dir/?api=1&destination=40.55308359700007,-112.00866543399997",No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.55308359700007,-112.00866543399997,Lovely jogging path.,No,No,No
Lions Park,South Salt Lake,84115,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.717749353000045,-111.88085518999998",Mysteriously locked,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,40.717749353000045,-111.88085518999998,Dog area closed until June 2024 for renovations (which is great). Dog area has a small obstacle course and water fountain. Great use of underpass-adjacent space.,No,Yes,Yes
Little Confluence Trailhead,Taylorsville,84123,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.66652553000006,-111.91023203599997",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,40.66652553000006,-111.91023203599997,This is the place. Wheelchair-friendly picnic table. Charming trailhead. Boat take out. Jordan River charm.,No,No,Yes
Little Valley Park ,Magna,84044,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.68565787700004,-112.09466615499997",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.68565787700004,-112.09466615499997,Neighborhood playground ,No,No,No
Lobelia Park,West Jordan,84081,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.63401649000008,-112.01103770999998",No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.63401649000008,-112.01103770999998,,No,Yes,Yes
Loder Park,Kearns,84118,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.64103058400008,-112.01361534499995",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.64103058400008,-112.01361534499995,,No,Yes,Yes
Lodestone Park,Kearns,84118,4,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.63858836500003,-112.03851502599997",Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,40.63858836500003,-112.03851502599997,A British cricket pitch! Fantastic playground and a mountain bike skills course!,No,Yes,Yes
Lone Peak Park,Sandy,84070,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.564884422000034,-111.87223766399995",Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,40.564884422000034,-111.87223766399995,Indoor pavilion accommodates up to 230 people. ,No,Yes,Yes
Lucas Dell Park Playground,South Jordan,84095,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.54420527900004,-111.97503711399997",No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.54420527900004,-111.97503711399997,Really charmed by this shady playground and picnic table,No,No,Yes
Madsen Park,Salt Lake City,84116,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.76956417100007,-111.91846141099995",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,40.76956417100007,-111.91846141099995,,No,No,No
Magna Copper Park,Magna,84044,4,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.71287336000006,-112.10594859699995",Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,40.71287336000006,-112.10594859699995,Horseshoes and big shady trees. Love that the playground has stadium seating for guardians. ,No,Yes,Yes
Magna Mantle Park,Magna,84044,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.71102928100004,-112.10771709899996",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.71102928100004,-112.10771709899996,"Would love grass here, but this is a fun statue park with a GIANT gyratory crusher statue (presumably related to the town’s mining history). ",No,Yes,No
Magna Mini Park ,Magna,84044,1,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.71074053900003,-112.10712194499996",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.71074053900003,-112.10712194499996,A patch of grass that could be so much more.,No,No,No
Magna Neighborhood Park,Magna,84044,3,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.70776646500008,-112.10931416599999",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,40.70776646500008,-112.10931416599999,,No,Yes,No
Magna Regional Park ,Magna,84044,4,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.68333115200005,-112.06313605799994",Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,40.68333115200005,-112.06313605799994,Killer playground with a huge splash pad and great views,No,Yes,Yes
Main Street Park,Herriman,84096,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.51512500000007,-112.031568",Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,40.51512500000007,-112.031568,,No,Yes,Yes
Main Street Park,Sandy,84070,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.592354999000065,-111.88829229899994",Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.592354999000065,-111.88829229899994,Very charming neighborhood park with a new playground and nice bathrooms. I love when the pavilion has a fireplace! This is where the Sandy City time capsule was buried in 2023.,No,Yes,Yes
Manas Way Park,Herriman,84096,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.50146366600006,-112.03664471899998",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.50146366600006,-112.03664471899998,,No,No,No
Maple Hills Park,West Jordan,84081,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.61658796300003,-112.04685796599995",No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,40.61658796300003,-112.04685796599995,"Why don’t mor of our parks have bench swings? Really curious little playground, lots of takes on thrill, including a mini skate park.",No,Yes,Yes
Maple Hollow Trailhead Park,Draper,84020,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.476134596000065,-111.85099886799998",No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.476134596000065,-111.85099886799998,"Really charming place to meet up for your mountain bike ride, even has a multitool!",No,No,Yes
Maple Meadows Park,West Valley City,84119,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.69974616600007,-111.95524088899998",No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,40.69974616600007,-111.95524088899998,Cute neighborhood park,No,No,Yes
Maples Park,West Jordan,84081,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.614621605000025,-112.05182967399998",No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.614621605000025,-112.05182967399998,,No,No,Yes
Margaret Park,Riverton,84065,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.528417458000035,-111.92614766099996",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.528417458000035,-111.92614766099996,Large sloping grass areas with a pathway. Good for frisbee or sitting on a bench staring at the sun.,No,No,No
Marketplace Park,Bluffdale,84065,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.48261443400003,-111.90944037099996",No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.48261443400003,-111.90944037099996,Cute little pocket park for the neighborhood.,No,No,Yes
McCall Park,South Salt Lake,84115,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.68951875500005,-111.88423352699999",No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.68951875500005,-111.88423352699999,,No,No,Yes
McHeather Park,West Jordan,84084,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.625833628000066,-111.93226437399994",No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,40.625833628000066,-111.93226437399994,,No,No,Yes
McIntyre Park,Cottonwood Heights,84121,1,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.616226536000056,-111.81537639399994",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.616226536000056,-111.81537639399994,This park is adjacent to the Cottonwood Heights Recreation center. It has a large cement slab that used to have tennis courts that are totally gone. Nice views though!,No,No,No
Meadow Green Farms Park,West Jordan,84088,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.59765893000008,-111.96297630799995",No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.59765893000008,-111.96297630799995,,No,No,Yes
Meadowlands Park ,West Valley City,84128,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.69915406400003,-112.03134381799998",No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.69915406400003,-112.03134381799998,Cute little neighborhood (almost pocket sized) park with lots of shady trees.,No,No,Yes
Meadowlark Park,Draper,84020,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.503040662000046,-111.857947449",No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,40.503040662000046,-111.857947449,,No,No,Yes
Meadows Park,Salt Lake City,84116,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.77821426100007,-111.94655828599997",No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.77821426100007,-111.94655828599997,Perfectly appointed little neighborhood park.,No,Yes,Yes
Mehraban Wetland Park,Draper,84020,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.53827608300003,-111.86655611699996",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,40.53827608300003,-111.86655611699996,Lovely paved walk/jog path through neighborhood wetlands. You can fish here too. Be careful though because it’s not exactly a loop so you’ll need to connect yourself through the neighborhood.,No,No,No
Memory Grove,Salt Lake City,84103,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.77641286100004,-111.88537650799998",Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,40.77641286100004,-111.88537650799998,"Charming off leash dog area that follows City Creek. Great workout stairs to the east and west. Popular picnic situation. Secret additional park at the top of the east stairs. 

Throw a party at the Memorial House! https://memorialhouse-utah.com/",No,Yes,Yes
Miami Park,Salt Lake City,84116,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.803223037000066,-111.94198743999999",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.803223037000066,-111.94198743999999,"Cute park with a big, grassy bowl for neighborhood play.",No,No,No
Midas Creek Park,South Jordan,84095,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.539247042000056,-111.95921502799996",No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.539247042000056,-111.95921502799996,Love all this grass and maturing trees.,No,No,Yes
Midas Quarry Park,Herriman,84096,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.52796159500008,-112.00280894299999",No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.52796159500008,-112.00280894299999,,No,No,Yes
Midvale City Park,Midvale,84047,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.61506468400006,-111.90332894999995",Mysteriously locked,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,40.61506468400006,-111.90332894999995,Love this giant field for play. BYO volleyball net,No,No,Yes
Mill Hollow Park,Cottonwood Heights,84121,4,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.62765031500004,-111.81159984499999",Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,40.62765031500004,-111.81159984499999,"There’s a U in the hill here! Lots of grass area for play, I saw two football games happening at once. ",No,No,Yes
Miller Bird Refuge and Nature Park,Salt Lake City,84108,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.74652886100006,-111.84654563499998",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,40.74652886100006,-111.84654563499998,"No amenities here, but this is amazing little lunch break stroll or jog. And it’s a loop! There’s a small amphitheater, too.",No,Yes,No
Millrace Park,Taylorsville,84123,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.653096273000074,-111.92553936699994",Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,40.653096273000074,-111.92553936699994,Boat access ramp to the Jordan River! And it’s right on the Jordan River Trail so lots of opportunity to meander. Named for the Millrace Flour Mill that used to stand along the river. Some large metal net like structures on the field make it possible for ,No,No,Yes
Mineral Way Park,Herriman,84096,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.53597360600003,-112.00728423899994",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,40.53597360600003,-112.00728423899994,This is such a nice winding park with big trees and even a sandbox and a tire swing! ,No,Yes,Yes
Modesto Park,Salt Lake City,84104,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.74347750000004,-111.92001780299995",No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,40.74347750000004,-111.92001780299995,"I can’t figure out why this park doesn’t speak to me, it might be the dead grass. What it does have is a boat ramp to the Jordan River!",No,No,Yes
Monarch Meadows Park,Riverton,84096,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.502575412000056,-112.00716229399995",Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,40.502575412000056,-112.00716229399995,,No,Yes,Yes
Moonlite Meadows Park,Magna,84044,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.69528076800003,-112.09434932799996",No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.69528076800003,-112.09434932799996,,No,Yes,No
Morning Cloak Park,Riverton,84096,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.50366269600005,-112.01571343999996",No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,40.50366269600005,-112.01571343999996,2 basketball courts and a giant bowl field for dogs or games! ,No,No,Yes
Mount Jordan Park,Bluffdale,84065,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.476958952000075,-111.91408246399999",Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,40.476958952000075,-111.91408246399999,Right on the Independence Trail.,No,No,Yes
Mountain Man Park,Kearns,84118,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.66162948500005,-112.01627798899995",No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.66162948500005,-112.01627798899995,"Love this giant field for play with a mountain backdrop. Sadly, the bathroom was in BAD shape when I was here.",No,No,Yes
Mountain View Park ,Riverton,84096,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.49599229700004,-112.00672170699994",No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,40.49599229700004,-112.00672170699994,Great trail with fitness equipment! Big field for play.,No,No,Yes
Mountview Park,Cottonwood Heights,84121,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.62522334600004,-111.84421405799998",Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,40.62522334600004,-111.84421405799998,You can BYO food trucks here for a $50 park fee and take your pavilion party to the next level.,No,No,Yes
Murray City Park,Murray,84107,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.66013679500003,-111.88201776499994",Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,40.66013679500003,-111.88201776499994,"Arboretum! Amphitheater! Tale trail! Farm Bureau farmers market! Rugby fields! The basketball court is indoors, and there is also an indoor pool if you want to swim in the winter.",No,Yes,Yes
Noble Heights,West Jordan,84088,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.607601283000065,-111.97934165699996",No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.607601283000065,-111.97934165699996,This park is between several housing units. You have to walk through the parking area of the apartments to get to the park.,No,Yes,Yes
North Gateway Park,Salt Lake City,84103,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.79096749400003,-111.90148120299995",Mysteriously locked,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,40.79096749400003,-111.90148120299995,The actual site of the warm Springs Hot Spring.,No,No,No
North Park,Kearns,84118,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.64918902900007,-112.02140743999996",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.64918902900007,-112.02140743999996,,No,No,No
Noyo Park,South Jordan,,2,Daybreak HOA,"https://www.google.com/maps/dir/?api=1&destination=40.563149218000035,-112.00383427399998",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.563149218000035,-112.00383427399998,"Small swing set, but no other play structure. ",No,No,No
Oaks East Park,West Jordan,84081,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.60214771600005,-112.03855749999997",No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.60214771600005,-112.03855749999997,Lil sledding hill! ,No,Yes,Yes
Oaks Park,West Jordan,84081,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.60228357500006,-112.05042648499995",No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,40.60228357500006,-112.05042648499995,Tons of great hammocking trees. A fun sledding hill! ,No,Yes,Yes
Old Farm Park,Riverton,84065,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.50349813500003,-111.96790741799998",Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,40.50349813500003,-111.96790741799998,Home to the Danny R. Crump fishing pond! And a big field for play.,No,No,Yes
Old Mill Park ,Cottonwood Heights,84121,3,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.62918745200005,-111.80266434999999",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,40.62918745200005,-111.80266434999999,Complete with a river and charming wooden bridge. The Cottonwood Paper Mill aka the old mill has an interesting history.,No,No,No
Olympus 8 Park,Holladay,84117,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.674179097000035,-111.83084904199995",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.674179097000035,-111.83084904199995,"These trees are the largest Austrian Pines in the United States! Or at least, they were, when dedicated in 1994.",No,No,Yes
Olympus Hills,Holladay,84124,5,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.67701122200003,-111.80555752099997",Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,40.67701122200003,-111.80555752099997,Park has a lovely area of natural trails and a loop or paved trail/stairs. ,No,Yes,Yes
Oquirrh Highlands Park,Unincorporated Salt Lake County ,84081,3,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.628764975000024,-112.03861963799994",No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,40.628764975000024,-112.03861963799994,"Great views, kickball or baseball diamond (minus bases), and horseshoes! ",No,No,Yes
Oquirrh Park,Kearns,84118,4,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.64556200000004,-112.01271799999995",Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,40.64556200000004,-112.01271799999995,"This pool is a party for families, the place to be on a hot day",No,Yes,Yes
Oquirrh Park,Riverton,84065,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.519358699000065,-111.95781092699997",No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,40.519358699000065,-111.95781092699997,,No,No,Yes
Oquirrh Shadows Park ,South Jordan,84095,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.56349179000006,-111.987686355",Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,40.56349179000006,-111.987686355,Really great jogging path,No,No,Yes
Orchard Park,South Jordan,84009,3,Daybreak HOA,"https://www.google.com/maps/dir/?api=1&destination=40.557670632000054,-111.99446359299998",No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.557670632000054,-111.99446359299998,,No,No,No
